Fréquence (Hz)	Niveau (dB)
46,875000	-46,527710
93,750000	-41,745304
140,625000	-34,934399
187,500000	-33,563496
234,375000	-32,256798
281,250000	-29,581120
328,125000	-27,498764
375,000000	-25,692719
421,875000	-25,812323
468,750000	-25,596745
515,625000	-25,417509
562,500000	-25,356932
609,375000	-25,126690
656,250000	-24,658432
703,125000	-24,570948
750,000000	-25,841066
796,875000	-28,328783
843,750000	-29,294065
890,625000	-30,506109
937,500000	-31,070072
984,375000	-31,751146
1031,250000	-32,060150
1078,125000	-32,771400
1125,000000	-33,572647
1171,875000	-34,153423
1218,750000	-34,416718
1265,625000	-34,486374
1312,500000	-34,214317
1359,375000	-33,854671
1406,250000	-34,292614
1453,125000	-33,941372
1500,000000	-34,015491
1546,875000	-34,173038
1593,750000	-34,632023
1640,625000	-34,774784
1687,500000	-35,681248
1734,375000	-36,623459
1781,250000	-36,772720
1828,125000	-37,225044
1875,000000	-38,416142
1921,875000	-39,105999
1968,750000	-40,252415
2015,625000	-40,715328
2062,500000	-41,263264
2109,375000	-41,867714
2156,250000	-42,228451
2203,125000	-42,612984
2250,000000	-42,743324
2296,875000	-43,049595
2343,750000	-43,435127
2390,625000	-43,335880
2437,500000	-43,129910
2484,375000	-43,014969
2531,250000	-43,330662
2578,125000	-43,556282
2625,000000	-43,367546
2671,875000	-43,533234
2718,750000	-44,337021
2765,625000	-45,184181
2812,500000	-45,612900
2859,375000	-46,181973
2906,250000	-46,568626
2953,125000	-46,580563
3000,000000	-46,805298
3046,875000	-47,290096
3093,750000	-47,471104
3140,625000	-48,319660
3187,500000	-48,406654
3234,375000	-48,409920
3281,250000	-48,106949
3328,125000	-48,187794
3375,000000	-48,325516
3421,875000	-48,432137
3468,750000	-48,689476
3515,625000	-48,850815
3562,500000	-49,005634
3609,375000	-48,625408
3656,250000	-49,070835
3703,125000	-49,790417
3750,000000	-50,013702
3796,875000	-50,053726
3843,750000	-50,353508
3890,625000	-50,651619
3937,500000	-50,497009
3984,375000	-50,248684
4031,250000	-50,622234
4078,125000	-51,050983
4125,000000	-51,693916
4171,875000	-52,366108
4218,750000	-52,817078
4265,625000	-52,988274
4312,500000	-53,777054
4359,375000	-54,511265
4406,250000	-54,593151
4453,125000	-54,834530
4500,000000	-55,090923
4546,875000	-55,635780
4593,750000	-56,301361
4640,625000	-56,924595
4687,500000	-57,135441
4734,375000	-57,180393
4781,250000	-57,719681
4828,125000	-58,200958
4875,000000	-58,448082
4921,875000	-58,737358
4968,750000	-58,783482
5015,625000	-59,118832
5062,500000	-59,316643
5109,375000	-59,376881
5156,250000	-59,857174
5203,125000	-60,696404
5250,000000	-60,895287
5296,875000	-60,866711
5343,750000	-60,944633
5390,625000	-60,827393
5437,500000	-60,496155
5484,375000	-60,853630
5531,250000	-61,436768
5578,125000	-61,752361
5625,000000	-61,583256
5671,875000	-61,276619
5718,750000	-61,775143
5765,625000	-62,432308
5812,500000	-62,484264
5859,375000	-62,032528
5906,250000	-62,147942
5953,125000	-62,008411
6000,000000	-61,653748
6046,875000	-61,320438
6093,750000	-61,289959
6140,625000	-61,749992
6187,500000	-62,141205
6234,375000	-62,366405
6281,250000	-62,276978
6328,125000	-61,926151
6375,000000	-62,083122
6421,875000	-61,987110
6468,750000	-62,274391
6515,625000	-62,467144
6562,500000	-61,986538
6609,375000	-61,867634
6656,250000	-62,051819
6703,125000	-61,943638
6750,000000	-62,138443
6796,875000	-62,294937
6843,750000	-62,020691
6890,625000	-62,130360
6937,500000	-61,780891
6984,375000	-61,508862
7031,250000	-61,472370
7078,125000	-61,650085
7125,000000	-61,881207
7171,875000	-61,783527
7218,750000	-61,538105
7265,625000	-61,385277
7312,500000	-61,510796
7359,375000	-61,646664
7406,250000	-61,510391
7453,125000	-61,488380
7500,000000	-61,532940
7546,875000	-61,425636
7593,750000	-61,008881
7640,625000	-60,907978
7687,500000	-61,444611
7734,375000	-61,381351
7781,250000	-61,670616
7828,125000	-61,522778
7875,000000	-61,582054
7921,875000	-61,545712
7968,750000	-61,360752
8015,625000	-61,366035
8062,500000	-61,595402
8109,375000	-61,517590
8156,250000	-61,710167
8203,125000	-61,997189
8250,000000	-61,835831
8296,875000	-61,635071
8343,750000	-61,560955
8390,625000	-61,559620
8437,500000	-62,193901
8484,375000	-62,309628
8531,250000	-62,293465
8578,125000	-62,549820
8625,000000	-62,876152
8671,875000	-62,740677
8718,750000	-62,807919
8765,625000	-62,885235
8812,500000	-62,742558
8859,375000	-62,798672
8906,250000	-63,063530
8953,125000	-63,264431
9000,000000	-63,519173
9046,875000	-63,874546
9093,750000	-63,895824
9140,625000	-63,923199
9187,500000	-63,563213
9234,375000	-63,507851
9281,250000	-64,115990
9328,125000	-64,370659
9375,000000	-64,335777
9421,875000	-64,529366
9468,750000	-64,591858
9515,625000	-64,658279
9562,500000	-64,654709
9609,375000	-64,973640
9656,250000	-65,063156
9703,125000	-65,302650
9750,000000	-65,062309
9796,875000	-65,094376
9843,750000	-65,309662
9890,625000	-65,612938
9937,500000	-65,841507
9984,375000	-65,440628
10031,250000	-65,399948
10078,125000	-65,550896
10125,000000	-65,993629
10171,875000	-66,226311
10218,750000	-66,905296
10265,625000	-66,884804
10312,500000	-66,503593
10359,375000	-66,941307
10406,250000	-67,307892
10453,125000	-67,595085
10500,000000	-67,575226
10546,875000	-67,671761
10593,750000	-67,900993
10640,625000	-68,139771
10687,500000	-68,866341
10734,375000	-69,292740
10781,250000	-69,274010
10828,125000	-69,442543
10875,000000	-69,797012
10921,875000	-70,161766
10968,750000	-70,112022
11015,625000	-70,147171
11062,500000	-70,574005
11109,375000	-70,811310
11156,250000	-71,104439
11203,125000	-71,554977
11250,000000	-71,868484
11296,875000	-71,732208
11343,750000	-71,710747
11390,625000	-72,185333
11437,500000	-72,443237
11484,375000	-72,681465
11531,250000	-72,828972
11578,125000	-73,084221
11625,000000	-73,105301
11671,875000	-73,570755
11718,750000	-73,840996
11765,625000	-73,979408
11812,500000	-74,232536
11859,375000	-74,282570
11906,250000	-74,258720
11953,125000	-74,339844
12000,000000	-74,737572
12046,875000	-75,219139
12093,750000	-75,257332
12140,625000	-75,454201
12187,500000	-75,484787
12234,375000	-75,784615
12281,250000	-75,515999
12328,125000	-75,724976
12375,000000	-75,944717
12421,875000	-76,543404
12468,750000	-76,587364
12515,625000	-76,702255
12562,500000	-76,814194
12609,375000	-77,110626
12656,250000	-76,983360
12703,125000	-77,152428
12750,000000	-77,352814
12796,875000	-77,843285
12843,750000	-77,851257
12890,625000	-78,130852
12937,500000	-78,150742
12984,375000	-78,231422
13031,250000	-78,502403
13078,125000	-78,689049
13125,000000	-78,811012
13171,875000	-78,877151
13218,750000	-79,037369
13265,625000	-78,874252
13312,500000	-78,943466
13359,375000	-79,141838
13406,250000	-79,023369
13453,125000	-78,993523
13500,000000	-79,218445
13546,875000	-79,227516
13593,750000	-79,277382
13640,625000	-79,511650
13687,500000	-79,608902
13734,375000	-79,793564
13781,250000	-79,833260
13828,125000	-79,811363
13875,000000	-79,604416
13921,875000	-79,566406
13968,750000	-79,646500
14015,625000	-80,020615
14062,500000	-79,957733
14109,375000	-80,142586
14156,250000	-80,163597
14203,125000	-80,195679
14250,000000	-80,272926
14296,875000	-80,395737
14343,750000	-80,513763
14390,625000	-80,543724
14437,500000	-80,486633
14484,375000	-80,517281
14531,250000	-80,765625
14578,125000	-80,841446
14625,000000	-81,216537
14671,875000	-81,371109
14718,750000	-81,205360
14765,625000	-81,452965
14812,500000	-81,405815
14859,375000	-81,488991
14906,250000	-81,666931
14953,125000	-81,540726
15000,000000	-81,797890
15046,875000	-81,879417
15093,750000	-81,924011
15140,625000	-81,921249
15187,500000	-82,035164
15234,375000	-82,207748
15281,250000	-82,249992
15328,125000	-82,430374
15375,000000	-82,410934
15421,875000	-82,618607
15468,750000	-82,850502
15515,625000	-82,616287
15562,500000	-82,725815
15609,375000	-82,857506
15656,250000	-83,070251
15703,125000	-83,061806
15750,000000	-83,097420
15796,875000	-83,234627
15843,750000	-83,446777
15890,625000	-83,661125
15937,500000	-83,742638
15984,375000	-83,728088
16031,250000	-83,759628
16078,125000	-84,091919
16125,000000	-84,190887
