Fréquence (Hz)	Niveau (dB)
43,066406	-40,237144
86,132812	-42,570248
129,199219	-42,518219
172,265625	-40,747803
215,332031	-38,271400
258,398438	-38,747585
301,464844	-39,853748
344,531250	-40,157867
387,597656	-40,098980
430,664062	-38,872482
473,730469	-39,743580
516,796875	-40,801273
559,863281	-41,535892
602,929688	-39,584045
645,996094	-36,684990
689,062500	-35,765247
732,128906	-40,393673
775,195312	-41,133026
818,261719	-39,069637
861,328125	-38,584164
904,394531	-40,084126
947,460938	-40,267063
990,527344	-40,403526
1033,593750	-40,459530
1076,660156	-38,872406
1119,726562	-38,673611
1162,792969	-40,549644
1205,859375	-40,289955
1248,925781	-39,185169
1291,992188	-38,587666
1335,058594	-40,606281
1378,125000	-40,776001
1421,191406	-40,247345
1464,257812	-40,053719
1507,324219	-41,059910
1550,390625	-40,743820
1593,457031	-40,391865
1636,523438	-40,579620
1679,589844	-41,904659
1722,656250	-41,848930
1765,722656	-40,903759
1808,789062	-41,406849
1851,855469	-42,242886
1894,921875	-41,504539
1937,988281	-40,299767
1981,054688	-39,674278
2024,121094	-38,530373
2067,187500	-38,995842
2110,253906	-39,654633
2153,320312	-40,756138
2196,386719	-42,055466
2239,453125	-41,944817
2282,519531	-41,163383
2325,585938	-41,262859
2368,652344	-42,188480
2411,718750	-43,262306
2454,785156	-42,611607
2497,851562	-37,495045
2540,917969	-35,748486
2583,984375	-41,403660
2627,050781	-43,184650
2670,117188	-43,515461
2713,183594	-43,720303
2756,250000	-43,907368
2799,316406	-42,854252
2842,382812	-41,337505
2885,449219	-41,564659
2928,515625	-42,791195
2971,582031	-42,081059
3014,648438	-42,811081
3057,714844	-44,298100
3100,781250	-45,821678
3143,847656	-46,438072
3186,914062	-46,451385
3229,980469	-46,054794
3273,046875	-46,936985
3316,113281	-46,597782
3359,179688	-39,471844
3402,246094	-40,623676
3445,312500	-45,996246
3488,378906	-47,912262
3531,445312	-48,034748
3574,511719	-47,735867
3617,578125	-48,396770
3660,644531	-48,248642
3703,710938	-48,682529
3746,777344	-49,056164
3789,843750	-49,937687
3832,910156	-51,820908
3875,976562	-50,256752
3919,042969	-49,509350
3962,109375	-50,181992
4005,175781	-50,050644
4048,242188	-47,842155
4091,308594	-50,083370
4134,375000	-51,337784
4177,441406	-48,201263
4220,507812	-45,833370
4263,574219	-50,209614
4306,640625	-52,133369
4349,707031	-49,617741
4392,773438	-50,504471
4435,839844	-51,172474
4478,906250	-50,469646
4521,972656	-51,696560
4565,039062	-52,375389
4608,105469	-53,192032
4651,171875	-54,118927
4694,238281	-55,249561
4737,304688	-54,997913
4780,371094	-54,656151
4823,437500	-54,695816
4866,503906	-56,322895
4909,570312	-55,895828
4952,636719	-55,141171
4995,703125	-56,246101
5038,769531	-57,006435
5081,835938	-57,050957
5124,902344	-57,265320
5167,968750	-55,559582
5211,035156	-55,996284
5254,101562	-57,685200
5297,167969	-57,051937
5340,234375	-57,036434
5383,300781	-59,825069
5426,367188	-62,157166
5469,433594	-65,196983
5512,500000	-68,679611
5555,566406	-66,862625
5598,632812	-65,243820
5641,699219	-64,182487
5684,765625	-62,500885
5727,832031	-62,964886
5770,898438	-65,294319
5813,964844	-65,268990
5857,031250	-65,188072
5900,097656	-67,895416
5943,164062	-69,876740
5986,230469	-71,515045
6029,296875	-72,572121
6072,363281	-72,965065
6115,429688	-74,079605
6158,496094	-76,819588
6201,562500	-78,849510
6244,628906	-81,082481
6287,695312	-84,026215
6330,761719	-84,935799
6373,828125	-86,075371
6416,894531	-87,823669
6459,960938	-89,735092
6503,027344	-90,282928
6546,093750	-89,957634
6589,160156	-90,686409
6632,226562	-90,846107
6675,292969	-90,954483
6718,359375	-91,391090
6761,425781	-91,393906
6804,492188	-91,365196
6847,558594	-91,609505
6890,625000	-91,747429
6933,691406	-91,521118
6976,757812	-91,005417
7019,824219	-91,122482
7062,890625	-91,583488
7105,957031	-91,742455
7149,023438	-92,595985
7192,089844	-92,752670
7235,156250	-92,210808
7278,222656	-91,863052
7321,289062	-91,629105
7364,355469	-92,047272
7407,421875	-92,395599
7450,488281	-92,440559
7493,554688	-92,218559
7536,621094	-92,556053
7579,687500	-93,331406
7622,753906	-93,483727
7665,820312	-93,322182
7708,886719	-92,562363
7751,953125	-92,362053
7795,019531	-92,272545
7838,085938	-92,460686
7881,152344	-92,483559
7924,218750	-92,232155
7967,285156	-92,356857
8010,351562	-92,570549
8053,417969	-92,990150
8096,484375	-93,519058
8139,550781	-93,360962
8182,617188	-93,385918
8225,683594	-93,567780
8268,750000	-94,108627
8311,816406	-94,125374
8354,882812	-93,224777
8397,949219	-92,828896
8441,015625	-92,977356
8484,082031	-93,272095
8527,148438	-93,688667
8570,214844	-93,647217
8613,281250	-92,973114
8656,347656	-92,980942
8699,414062	-93,467697
8742,480469	-93,640366
8785,546875	-94,012970
8828,613281	-93,730957
8871,679688	-93,454193
8914,746094	-93,625587
8957,812500	-93,790062
9000,878906	-94,285400
9043,945312	-94,702316
9087,011719	-93,777931
9130,078125	-93,889061
9173,144531	-94,844337
