Fréquence (Hz)	Niveau (dB)
11,718750	-72,197281
23,437500	-59,397270
35,156250	-52,509506
46,875000	-51,151524
58,593750	-44,608650
70,312500	-43,673885
82,031250	-46,153500
93,750000	-46,622086
105,468750	-44,247009
117,187500	-38,863388
128,906250	-41,342476
140,625000	-43,106743
152,343750	-45,908226
164,062500	-40,502327
175,781250	-29,860945
187,500000	-33,061378
199,218750	-47,743042
210,937500	-41,549740
222,656250	-43,479187
234,375000	-44,883366
246,093750	-37,230782
257,812500	-38,971317
269,531250	-50,271473
281,250000	-44,731449
292,968750	-43,805092
304,687500	-46,958584
316,406250	-48,662827
328,125000	-48,731007
339,843750	-48,633507
351,562500	-47,509663
363,281250	-47,389874
375,000000	-46,262917
386,718750	-51,005615
398,437500	-51,930298
410,156250	-52,411415
421,875000	-49,636787
433,593750	-48,351608
445,312500	-48,628757
457,031250	-48,152634
468,750000	-48,491356
480,468750	-50,734173
492,187500	-45,574425
503,906250	-48,551056
515,625000	-53,787231
527,343750	-52,508049
539,062500	-50,477833
550,781250	-51,760017
562,500000	-51,974346
574,218750	-50,174900
585,937500	-52,756264
597,656250	-55,025551
609,375000	-57,329617
621,093750	-60,689045
632,812500	-59,473026
644,531250	-56,045589
656,250000	-56,650299
667,968750	-57,550407
679,687500	-55,795048
691,406250	-56,610016
703,125000	-56,511230
714,843750	-54,300404
726,562500	-54,842182
738,281250	-56,185429
750,000000	-55,861778
761,718750	-54,867386
773,437500	-52,474735
785,156250	-54,183243
796,875000	-57,283627
808,593750	-57,182415
820,312500	-56,521992
832,031250	-56,848820
843,750000	-56,944870
855,468750	-57,526760
867,187500	-57,630165
878,906250	-57,577335
890,625000	-57,666988
902,343750	-57,793892
914,062500	-57,312298
925,781250	-56,142540
937,500000	-56,999733
949,218750	-58,091717
960,937500	-57,096146
972,656250	-57,227150
984,375000	-57,447720
996,093750	-59,029953
1007,812500	-59,822247
1019,531250	-59,452213
1031,250000	-58,578907
1042,968750	-56,802742
1054,687500	-57,062428
1066,406250	-58,641716
1078,125000	-59,638035
1089,843750	-59,873085
1101,562500	-59,441689
1113,281250	-58,363506
1125,000000	-57,572918
1136,718750	-57,459942
1148,437500	-57,761169
1160,156250	-58,421204
1171,875000	-60,485046
1183,593750	-61,002216
1195,312500	-59,401711
1207,031250	-57,723232
1218,750000	-57,027275
1230,468750	-58,052494
1242,187500	-59,227226
1253,906250	-59,082378
1265,625000	-60,128712
1277,343750	-60,527332
1289,062500	-61,271889
1300,781250	-62,726139
1312,500000	-62,173195
1324,218750	-60,854591
1335,937500	-60,365105
1347,656250	-59,848476
1359,375000	-60,192013
1371,093750	-60,900448
1382,812500	-61,850506
1394,531250	-63,600166
1406,250000	-65,116951
1417,968750	-65,210770
1429,687500	-64,049103
1441,406250	-62,850906
1453,125000	-61,843159
1464,843750	-62,209095
1476,562500	-63,020657
1488,281250	-63,029289
1500,000000	-62,645653
1511,718750	-62,818417
1523,437500	-63,683224
1535,156250	-64,139992
1546,875000	-64,474968
1558,593750	-64,107033
1570,312500	-64,653397
1582,031250	-65,204010
1593,750000	-65,332176
1605,468750	-66,181190
1617,187500	-66,551987
1628,906250	-65,597008
1640,625000	-65,110252
1652,343750	-64,868706
1664,062500	-65,297005
1675,781250	-65,343597
1687,500000	-64,611481
1699,218750	-65,153221
1710,937500	-65,486725
1722,656250	-66,400085
1734,375000	-66,266647
1746,093750	-65,392815
1757,812500	-65,696426
1769,531250	-65,220245
1781,250000	-65,738335
1792,968750	-66,371811
1804,687500	-66,774506
1816,406250	-66,667946
1828,125000	-66,877182
1839,843750	-66,798851
1851,562500	-68,037956
1863,281250	-68,200829
1875,000000	-67,348389
1886,718750	-66,985397
1898,437500	-66,680244
1910,156250	-66,465805
1921,875000	-66,028328
1933,593750	-65,694855
1945,312500	-66,012756
1957,031250	-65,535217
1968,750000	-65,682137
1980,468750	-66,247299
1992,187500	-67,117653
2003,906250	-68,171066
2015,625000	-68,161400
2027,343750	-68,134796
2039,062500	-68,108719
2050,781250	-67,652885
2062,500000	-67,645538
2074,218750	-67,248032
2085,937500	-67,007668
2097,656250	-67,347054
2109,375000	-68,230049
2121,093750	-68,623360
2132,812500	-69,285500
2144,531250	-70,282242
2156,250000	-69,681801
2167,968750	-69,694099
2179,687500	-69,930344
2191,406250	-70,077629
2203,125000	-70,541718
2214,843750	-70,877701
2226,562500	-70,744225
2238,281250	-70,471657
2250,000000	-69,988770
2261,718750	-69,985413
2273,437500	-70,121208
2285,156250	-69,962486
2296,875000	-69,928429
2308,593750	-69,573402
2320,312500	-69,144699
2332,031250	-69,350052
2343,750000	-69,144928
2355,468750	-69,216019
2367,187500	-69,328842
2378,906250	-69,839272
2390,625000	-70,463554
2402,343750	-70,716499
2414,062500	-70,244553
2425,781250	-69,825920
2437,500000	-70,856873
2449,218750	-70,866028
2460,937500	-70,579643
2472,656250	-70,533447
2484,375000	-69,796776
2496,093750	-69,601463
2507,812500	-69,690834
2519,531250	-69,676727
2531,250000	-70,330238
2542,968750	-71,550201
2554,687500	-72,747086
2566,406250	-71,988983
2578,125000	-71,636292
2589,843750	-71,941742
2601,562500	-72,178474
2613,281250	-71,510284
2625,000000	-71,871201
2636,718750	-72,466194
2648,437500	-73,260468
2660,156250	-73,344887
2671,875000	-73,521141
2683,593750	-73,727623
2695,312500	-73,292610
2707,031250	-72,535713
2718,750000	-72,365021
2730,468750	-71,992386
2742,187500	-71,951477
2753,906250	-71,639412
2765,625000	-71,591385
2777,343750	-71,639122
2789,062500	-71,538040
2800,781250	-71,533798
2812,500000	-71,863586
2824,218750	-71,877777
2835,937500	-71,762985
2847,656250	-72,064629
2859,375000	-71,521164
2871,093750	-71,030663
2882,812500	-71,294807
2894,531250	-72,223022
2906,250000	-72,834457
2917,968750	-72,322365
2929,687500	-71,633965
2941,406250	-72,391716
2953,125000	-72,787247
2964,843750	-72,473526
2976,562500	-72,278603
2988,281250	-72,437149
3000,000000	-72,575836
