Fréquence (Hz)	Niveau (dB)
46,875000	-48,131443
93,750000	-37,107883
140,625000	-32,113083
187,500000	-30,309736
234,375000	-33,815907
281,250000	-32,149422
328,125000	-32,178295
375,000000	-33,600426
421,875000	-35,862129
468,750000	-36,138950
515,625000	-37,528355
562,500000	-35,955547
609,375000	-32,894585
656,250000	-33,750050
703,125000	-34,486252
750,000000	-33,350491
796,875000	-35,870430
843,750000	-38,267578
890,625000	-38,213551
937,500000	-37,228031
984,375000	-36,260662
1031,250000	-35,765430
1078,125000	-36,629341
1125,000000	-38,577488
1171,875000	-40,649788
1218,750000	-41,749290
1265,625000	-42,475594
1312,500000	-42,299736
1359,375000	-39,532028
1406,250000	-41,639347
1453,125000	-41,948536
1500,000000	-42,279530
1546,875000	-43,369282
1593,750000	-43,868164
1640,625000	-43,372337
1687,500000	-41,787384
1734,375000	-43,052856
1781,250000	-44,018227
1828,125000	-43,796532
1875,000000	-45,218227
1921,875000	-45,951653
1968,750000	-44,149311
2015,625000	-42,672146
2062,500000	-42,519489
2109,375000	-43,994389
2156,250000	-43,479568
2203,125000	-43,406265
2250,000000	-43,269958
2296,875000	-43,935074
2343,750000	-43,379807
2390,625000	-41,276699
2437,500000	-43,422127
2484,375000	-42,630783
2531,250000	-42,884377
2578,125000	-40,994053
2625,000000	-40,829716
2671,875000	-43,220924
2718,750000	-42,356110
2765,625000	-43,192875
2812,500000	-45,236015
2859,375000	-46,657146
2906,250000	-45,345959
2953,125000	-45,269020
3000,000000	-44,176487
3046,875000	-45,238400
3093,750000	-46,003426
3140,625000	-46,553692
3187,500000	-46,577366
3234,375000	-46,507259
3281,250000	-45,721909
3328,125000	-46,734325
3375,000000	-46,091431
3421,875000	-46,501778
3468,750000	-48,636871
3515,625000	-47,824932
3562,500000	-45,356907
3609,375000	-45,944340
3656,250000	-45,671749
3703,125000	-45,195602
3750,000000	-45,433323
3796,875000	-43,121262
3843,750000	-40,341080
3890,625000	-46,182251
3937,500000	-47,929245
3984,375000	-41,941200
